email,time_homework,time_lectures
7fb64990101a36e94eecada1c9e87a15ab1cc7b4,,
f45474cd2719ca2aba6cd457afab925f17b44738,2,2
ad85815de55795cd71d6b8571f91c835dbb6bf85,3,4
9b0a01577dd77a785a47fda8f314f60ad1d4f08b,3,3
1571075386c6f26357b5555b47695e291bc9b5b4,,
fa788280a9438fdabea1778c9547b671b35e1cdf,,
9faa1e33ae2fbcdaeaf2f9b58dcf3652251a2c18,2,3
03f89068708fa9b2cf577319b92225536bfb5c0d,3,2.5
e8829e26639746e3200a68a44167a4e52d3c75a1,8,5
922efb9887cc5564b55a4c9156ea294b8f4e5081,2 h,"I am not yet down, I slacked a bit"
f2c2604630412acad43641d8b86f39dfa13007d7,2,5
ef96d3e6eb8623a19be9129416b8de11ad54000c,4,4
db6b4ba6f0ee9ad9fde595368ea8c82bf4de0d00,7,6
18643e2ccea218107a508913916cf20f27784525,5,6
d9a48b627c11651e04bbdecf82bd6d2714078db0,4,6
afeecc7b73aab7323bad7611a258a25a98217d7c,2,2
ad527a97e429491850389dd0b0c3ba7400a1125d,3,4
5f63db590f9a63755d700e924958bde8e136646e,8,24
1f826aadeaabf4da479255a43ecd6ede8881d1c1,5,10
b259c243d5e370bad664a2350e857101c9a962b1,5,5
39750257bda03d87263bc9d3053b0aa82a60aea6,2,2
27d49bcdab95af7ab16dad982bca879e8ceb9c70,5,4
aab4d2c3f136fe33b32e9cf7dc76833f8baf5f92,5,5
ec18a2433a73ffd6db65a3654570c4b25bf9161a,1,6
eec3dd8e702c603a7acc2f42c5c37e320ad8c1f2,8,2
7f561beb38dacc659943ae4d9714fea8b49ed2f6,3,2
d84c484cbe800e0415bea66daf5239a9f30a4874,,
84c03d86d893ff9b659446de79be94e9f4ffebfe,1,4
fa62569b7372ecda1c062b6a1b583825c21224ac,,
2a1671d844c2c788e7bc81d49d43999783f01a75,,
cdf10914aa67e6d915c6faa8c69587f5a851ae04,3 hours,3 hours
05376f3eb618acfa90860a5d503758096f40eb93,2,8
960029e252fb0189a24deef5436733f0a740aba9,2,2
6f510a2bfcf159cb4990d8c5078c8ee182378ba6,5,6
51bb171b62b5c883075c79e69c2534088bc01e3e,3,10
5b916fc64cddc0f2896ffccd021ed0d71a45bf88,2,3
bb97bcdf4389dfaedb640381e1decdfa39706460,3,3
