email,time_project
5aa2a609e584ae897ff8698061a23b0e2eac5b9f,+50
e9abd38f325072e5cddddac45e926cd762a859d9,20
d2ab8c5502963fbafa33793f8c053837c8a77210,8
c62b5111f0f2d8f4082ffd282a98bdb2e5983f55,5
8f158bb16ae4eb53c88f1bddf7f3f80e6e580bbb,20 days
66c582c6e3cdd54e73c59d6b79200f7a6b7b6037,45
373577c7f5e43b946b24e0ad691debbb87b8500d,
0898f8f00835e3c45726f68849b193aaec1f7fe0,
c760968e3f54e151e8af4274aaa4491471649152,20
2096ca3c619ee8380d1e16d00a3de8832b0c16c2,
cefca55e3cf552f365545ef6c7e94c9dab9ab07c,30
53fe7f58b1a250cec5781a2bfc3aa1b674d1cf28,30
0815cd3d89f4165d43479a6f6f0358ad140c7b7f,20
f4038d01ca3f135d93b70b3bbf6e2a0cccb6add0,A lot!!
83a1f38df120c991854448b2c8e6c7292f710340,
113f50183c91f55d79ad1413f7285379c766fa42,24+
d1003c237d201e2afe5227f8ad94114619287541,60
99f5dad24db24e1e08aad60ed50fe13e2f6ade2a,way too many :)
a8425434f1a3997577fd9f5635564a90512e33be,12
1ecb254ffa25518665cbbb8037fa2c18ddf65f32,100
6f510a2bfcf159cb4990d8c5078c8ee182378ba6,55
0ba2017d4cab675ecedefb3e0362a674777fd5bc,40
27880c6e4f7df1829dab137d0d62a05bf81b8d16,40
2a18b3d3433e2d7536a73c48c91373e01425c3fd,30
7f561beb38dacc659943ae4d9714fea8b49ed2f6,16
98f129221b990003e0e67cafb60e14554721c757,30
58be5e5fa5687cc7595d830cd33db63b7444bf52,100
d87fdfb832c8b34717575e15dd93391281fadb14,30
54aaf4a0903441b5b97995f5d2c8a39e713439e7,25+
