email,time_homework,time_lectures
74e147cbc06258ee542d737f0db3758a96c381e4,1,3
8f158bb16ae4eb53c88f1bddf7f3f80e6e580bbb,1,3
ab45cb5138ea12ed5ac9cdb74e97e5a6e688a538,8,4
f38663a383ca04f172a1c17a9e58cef00826ce5d,,
454d9de90f5075f0df4649916a2b49e8e3f028e6,3,2
0ec45cf45c3c4ef5b09a273848876653ef742e34,3,10
eec3dd8e702c603a7acc2f42c5c37e320ad8c1f2,~2,~4
db6b4ba6f0ee9ad9fde595368ea8c82bf4de0d00,5,5
113f50183c91f55d79ad1413f7285379c766fa42,2,6
a49c81330a71a85048c680c0bd89f55bf18a1c9e,,
635b125bf43bd78b4f74028cca99cd81c2dbc362,2hrs.,1hr.30min daily
960029e252fb0189a24deef5436733f0a740aba9,1,2
816d80b18e0bd75caa8f4f47682cf63955595a32,4 hours,Around 5 hours
afeecc7b73aab7323bad7611a258a25a98217d7c,,
d84c484cbe800e0415bea66daf5239a9f30a4874,3 hours,10 hours
e46779e775d1a979f62cad195cedb7fdcdf1d913,4,10
6cf12708cf7d7f4eb45aa3c628b4e28627be581a,1,10
b888d7defcf07a99fc4506cb7b431067ac694c28,3,5
d9a48b627c11651e04bbdecf82bd6d2714078db0,2,5
0d573e8c65aa7869b3ed8dd9b549aa7d1dc63278,2,4
ad85815de55795cd71d6b8571f91c835dbb6bf85,3,6
4af18740f6cb3b6e3c954f6129f00e56d7c8a61a,3,10
fa788280a9438fdabea1778c9547b671b35e1cdf,1,8
98c1ff95aab1466f7f104407a07a143e947cfd8a,1,30
16170729799399391fa61a071eb53ae2e66855a4,6,4
d6a0f54959b780453c031841a0291075132129a8,5,3
0e4d8f0788c649c71880e0b0d22652d059871143,0.5,7-8
8039a2c329555054376f9cc72277aecf2cc9cb90,2,10
de0aeb053e27877355140a6d4ecba7c1a81f2170,0.5,2
0ff0939a6af2ecaa69ec90a71e4eaf849e1716bf,1,10
c760968e3f54e151e8af4274aaa4491471649152,3,15
7ac6f3a0dbc3a04b3b09909f4c2a42d90adf4abf,2 hours,2 hours a day
4764024c08d2ce6069ce7dad65c3146a99db4620,0.25,2
ec18a2433a73ffd6db65a3654570c4b25bf9161a,30 min,7
f54c50e7cb42043e5e9d96f19518b05c9a71765d,2,4
a25de7eb697084fc0d8e0f77b18b1d7353281980,10,5
cdf10914aa67e6d915c6faa8c69587f5a851ae04,2.5,6
62bc87c6955e89f0d27c47fd758211301bfa6994,2,2
392dcd242ebce5bb6514a292901796c9d67775ab,1,7
328cd37d5105d91fd4ebc974ce5fdd430972707f,4-5 hours,"I've watched everything and read, start contributing as well. "
15b86fc5636e3a06c084e7d12f47c470c040fe1b,1,6
e61067752eac68ac38d66cefa1163a1d135355d6,2,2
c46c7869185613e6a2c18e252b6c6d5ff5d69b7a,3,5
05376f3eb618acfa90860a5d503758096f40eb93,2,10
2499d927ecf8488c4310370af94573f54109e949,6 hours,2 hours
18643e2ccea218107a508913916cf20f27784525,3hrs,30hrs
dbd3fda9fa83160d5a7e69dd765be95fe09cde79,2 hours,Probably around 8 hours
9dc6abf81c7b3e9e382a30fe086e1675294b8f5a,0.5,3
2c6e4c5361d01547cee9af5dde04944cdae23834,4,6
71bf868616dc4de1bf3bd9990d7708662e9f4ba7,3,2
9837cdb11c66845e853cc3604ed166ba2c6c3867,01:16:15,05:36:05
96e4425578291eb0464281169a61caea6b617475,1,1
ad527a97e429491850389dd0b0c3ba7400a1125d,1,10
0898f8f00835e3c45726f68849b193aaec1f7fe0,,
416846d4057bdcfd9b7cef9b379baa1a95ad5185,1,3
aab4d2c3f136fe33b32e9cf7dc76833f8baf5f92,~5 hours,2-3 hours a day
7f561beb38dacc659943ae4d9714fea8b49ed2f6,3,5
181cf0686d3a512309d5896ef008b11ae6ca4bad,3,3
b8e2915e280188dc3e738b80a10ce1c3729943c3,,
