email,time_homework,time_lectures
8b37afba024cc9f2244b8af8088fad10312352a8,2.0,3.0
b1ca39761b6401c8a60939235c513664e62df562,2.0,3.0
32e0492b151b68e31fa8f49ef64b6ec9a293b917,4.0,8.0
10576c658a4296b827e7ea08e5b6d990f6f142f6,,
6e3b15160d3143f2e1cc84cf51e908412063661a,4.0,6.0
85f6208b0d28a96d528b7d8aef399679f4307a51,6.0,15.0
76b44a94c13e98780f438868d889d40499619723,10.0,2.0
0146b4b31f738ddd61186be571c96c4a9086e07c,4.0,4.0
4646789f841116d952e8b6c0ef3beed658bc5a29,,
054a2d98725053366cae7f6ac68c7d4a05e64899,,
0e185ca538d0a1a21a992859a749cdd9f5f7dfcb,3.0,3.0
c74d6d69dccd2c735d3b33f6864343532dacb6ca,2.0,3.0
e78e603660201f55043f43223dd531eecef2fd37,,
8804269fd48285c49f4b597dddb5f87557386e3b,,
56e786a63abe8874b08329fe2467a8efa0d5570b,,
74e8913a38158a8683e5e058219feb0a862536f7,3.0,7.0
a30e6188316246daae706103575e68ec0b05a71f,4.0,3.0
9903583f1f86e0588c3dc9af50c7ed55819b387d,,
77e41f3e01b5de1fa45a010a8a00cd870c388bad,4.0,3.0
23df463ee2db7542c05565882404ba694ad84663,4.0,2.0
0e6980e44c6df8379cdcf08edde84ee5ba7b79a5,3.0,5.0
85611b513376c2d20d2befad636a0067bf52425a,5.0,3.5
17df68f6428c673bfc724a0d83abb3fd46587c65,2.0,2.0
39259b1cb32fbd314de0053c4e9f3b4753f38c9e,5.0,30.0
f7794351ef46fa717a5b2a2e749ac1814a19fdcb,7.0,5.0
e537f862de92228431ee0ceff82e4862749d7b14,1.0,4.0
f0bc09eb796c03f5caa244e5375e0e296845b97c,4.0,4.0
37c6d94707156c440f716a549f9be1a72560daa6,5.0,18.0
0a6bc391e4d051b911ea65ea002f9fd541e63fa4,6.0,10.0
53ef925074886bd37411a846359e239ad1763cfc,3.0,10.0
69c172abe4abd2bfd43762e3783d865ca2519a4d,4.0,4.5
9a95143eae229931375caa43f791202c1b902687,,
ef64da7382f9b920d70f470c5d92b3cd3fabecf1,,
f84652db659a1ccb9f426bfe31cd48eaaa502293,5.0,5.0
1d400227b2ca261a9097ca634b5c2d66598d8d2f,5.0,5.0
5f57282a13748b0361d97446446567e67031aecc,3.0,1.0
c9943fdf386fe93cfc3cdf47f1d9200dfedd9d95,5.0,30.0
1a55a1ee7b0f4b432cc879b028879c5f420abccb,3.0,6.0
0c795c3c870e140526b20ad6c4aa383bd6ee7a60,8.0,4.0
64576605cdadcdec5ca965e416669316ab418862,8.0,5.0
f5f408aca507c452b70df8787949a77bfbf40fd0,8.0,4.0
e2c5763d32fc3458bc309504383554c4ce05e16d,12.0,5.0
040ed15c1403047461cb66148b4831ab29eb6b8e,,
55c3aca4df9485aef61b623fce6191ed3134a8ca,2.0,5.0
5ef52f4a9a850e842ebe1233f5ffd38bc21f4085,5.0,7.0
4e9e842834e9ce6fdf8b2e3279a719a124746ca1,,
9f6b772bfa5d6745106cbf1f8b244f828a7577ea,5.0,5.0
ab57c18a078fc8a95866cb1da31f577637ccc9a7,,
638cd1767094a81783e380cf6c8271b3e6e63854,2.0,3.0
12e16df40a842a1a225a35a284509ccbceb44e56,3.0,10.0
90584667cea40e933af67010063f7b09da5d703f,3.0,6.0
029c5efb5e492be81ba1d2c570234e5945cf44ee,21.0,20.0
00a96ce2b9e0b155171e887f3427708a9dfad8e7,6.0,15.0
ddc587ffdf3bef26046cf3101d33a75f95db9252,40.0,40.0
bc98e7bd493fa8e3c7d21448fbed63075083ef5b,6.0,5.0
481e67afa09c2157486ff28c849042ebbeaba614,,
1e2c04158d879e196df52b3f953ac3a913be2875,1.0,3.0
9dbcf6be2601797f1e767897c6b3a163b5914274,6.0,10.0
