email,time_homework,time_lectures
763f1201cc21f5db2920451b537baba80ecce548,4,8
735132fc3b29922e0e5c7e5bf82ddabc77425aa8,,
84fd3cfc65c0876561302067691e10249e6e0fb6,3 hours,4 hours
8dee43d7d6fea02609d1248b6619aec3c1591a03,3,3
3be8a9808dc9e10d5c03287bd1b31dc8c7139c49,4,2
b94a37daf1c993e60316b74dfd3f53bdf9717945,4,4
0caddcb6909016765e1b14d75dfbb9fbe39dc8ba,2,2
e4ed6641178a4160c98a9f93632fefe34bb0fb13,5,4
b0a31841d0e20e10af34302a95400ce9b55d8768,2,2
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,2,3
2827dee8b87c061ca051c94c0ec890fc4f71d2d1,1,3
83c2c3ed562184d0b533f17b77f2c5d9670f73b2,0.45,4
fdca8e49a89f647ff9e3f763664d8b67a201cc11,2,5
4234a6f2ed2d09f049db8787e8ca2da10b3a3abd,2,2
abc2a8b79febe57f8899b3daf8e50904c6cf806c,2,2
b873dc65f800cdaac65a200d2afb6599a71a8155,2,3
f0703abb34d5e393ed17a93a68dc789e98872d57,1,2
146ec5b23431eeeab93a993e9625c478e1e243ae,5,4
904306159f6cccb16c109457e8bff91fd84d7565,4,1
1e601d610e6744b27663649d27ef1b5c43b5bdba,5,5
d7f64883f9c5b6f8c8a6808181477e7e9f7c44ee,,
3cf2ec9374af4e3a024101ed95d6b43faea96c46,2,1h 40m
6df13c6831472996bffd20f33fdb881b99c4e2f4,2,5
1571075386c6f26357b5555b47695e291bc9b5b4,,
4eadb1a13a0319729fff25b92a90550281eace5c,6,6
fc5e766a2d8201b7f5d7e19745ae4412d68286e3,3,3
8afbcabbcd73cd2ed5ddeb16cff80aa6c91796dd,6,2
78fc28143167ee6731a71d99fbc5ace7115874b4,2,3
fc3086d770f4b3267c5e2c4e655058d253a8a4cb,3,4
e4baec3a241237b1561594d58d67adf0bc3a6ba5,2h,8h
1fc51745c6692ed74417df93bab5436b3c9b4af0,20,5
e5cd083385a3a9e79c39b8212eae859e88cc1d13,"1.5 hours (including fixing the bug which took a lot of time, mentioned in Slack)",2-3 hours + 2-3 hours for notes
41719db9ddb874e65af64eb61f7ea20e335ad5ea,4,8
9b5fe4b8b128af8a67b5a86ec4bf3cbf0d48bc6c,,
74e147cbc06258ee542d737f0db3758a96c381e4,2,3
8119a5ecfb2e33e7c9b89aeb8d319496563248a1,2,3
143541daa05a6e257b165b7dd30ae69bed29e5d1,,
b693f7c83c248d9358ef939825f7056e0366d4b0,5,5
960029e252fb0189a24deef5436733f0a740aba9,1,3
d88d479339525c47247b83f4b89d6b2ea75d5d21,2 hours,2 hours
