email,time_homework,time_lectures
062a10da9da5b8ad49b46a77cf86fa90c8c0b836,,
9a783b3d902b6f0e2d7a2441d24226a50159ab98,,
78f7da446f9fa324b7c05e1cbe1cfa1385be4ed7,2,2
b1d17526cefcd1f6cfc9661ad22332ab944cb6f2,1,1
e4baec3a241237b1561594d58d67adf0bc3a6ba5,2,4
7d16eecc0f2975f53527061e23edd3c8f28cdb45,1,2
1da61d0b47d3917123ca6ca6915ca1c8a1fe1295,1,2
9292fb2bd2b465a0388fd087f34ff273af2c6c1c,4,2
c922a48bc3e08951c70149955132a2bd2cff1b7c,,
ae98266f3d816d12aa027d623cb53dd6b350310d,1,2
fb6c2b18863d2c60d2ac62b24791d7c8d59ff3bd,0.25,0.75
ec8f5245b2be70e236f10b0dc81b6aa028427371,1,1.5
5255531ba47ffdf55b5e6cda36988353aebf1d1c,3 hours,3 hours 30mins
62ab68f6c83ade2c086c68ea8f9c446e48c33236,1,6
18141671b61b3f020413935bd86034401039d92d,2,2
ec1625ece88f847102d859c5077c15792d39d590,~1.5h,~2h
51bb171b62b5c883075c79e69c2534088bc01e3e,2,3
e5cd083385a3a9e79c39b8212eae859e88cc1d13,0.2,2 hours including Optional course
2fd72d0768b29378c9471addbe3c9da74bdebcfb,1,3
dfef274e0c3b34ab3c9c3587006269fd64d272f1,2,2
2827dee8b87c061ca051c94c0ec890fc4f71d2d1,~1 hour,1 to 3 hours for watching lectures and reading course notes. 5-6 hourse for reading other contents.
7565741e8b12389dfe8757e537c3ac8302189745,30min,1h
5cdd5bcb9670b41221fd39b7f30c0e4bc6009ee9,2,2
4234a6f2ed2d09f049db8787e8ca2da10b3a3abd,1,2
920ddf1ded1936c20ec6ebdd7cc4eac900a3081c,1,3
d277d4b242d0c39c6c9bf0dcbc9aae362a093d2c,1,2
f0703abb34d5e393ed17a93a68dc789e98872d57,2,3
c6b5f9f8e3f22b1e25201fedb7d0cb85f651b015,,
49c041d574d1090aa8c0ba3385c959ace4be4de8,4,8
db6b4ba6f0ee9ad9fde595368ea8c82bf4de0d00,2,4
58fd1fb8c138be125306a1e4d4d07e4df8813082,0.5,1.5
e1a716e73f1b10822f50a75682a23faecd734ed9,1,2
4eadb1a13a0319729fff25b92a90550281eace5c,5,5
b84fbeb909c41c20e58ab5cf97d0a928db62fca3,2,5
d6f5f1be4df0e2fa3746c3c1d971218e6d1530e8,,
4f57087e2fb58947a096694d2da84b85af6fdbd7,,
cc56bc6d70717b3d49bda1804a800dad0c372606,0.5,2
89782d2601d67bea29e46ab5c5bb2d680533808f,,
becb15e5ae73bc463ed8e687558f3dbac703e9a6,1 h,1.5 h
fc3086d770f4b3267c5e2c4e655058d253a8a4cb,2.5,1.5
eb961335727ae39086679e1bcef754136312a3c3,0.25,0
3dc930ae055d6869e5d9a6cc5e5afd01516286dc,2,1
84fd3cfc65c0876561302067691e10249e6e0fb6,2-3 hours,3-4 hours
3feae05ebc43d3973311dd43e3c9ecdd36d4c6eb,1hour,1hour
8d58daddee928ab6834f6f52ac60de3a3d61676c,1.5,2
ce9d53e0b81590a42802fbedcd2cc730686747cd,4-5 however I spend sometime playing here and there with the code ,< 30 min 
5dfb12c81fe8c23b190302b8e533046026ce624d,,
4018c1712430b7582f26768b37b5b30a248b8f95,3,1.5
dcf062117b3244b35b4ca1e310a7ff7b71ccf0a2,1,8
b42021df481ea2fe82e48d426741f1c3f0e64678,0.5,2
5a9c63475c6583bff46ebfd432f36bd446ead2b0,1.5,2
9adacb5dc2c416161aa9ec7899a3aafa74ba6a73,2,1
a9ac768ce753c1e904fbbbd15ca58a563c91200c,0.25,1
ea550879f5aef312b5a0601b47249f6311674135,30 min,10 min
d65bc6479c534576b193b2bed7f6f2d6896ee948,1,2
a7890751aa7cd8102aa195a5cbe41a63cb84e1ca,,
4a33d728c5a5c7bc6c91d8274f7cc0c1516d923e,1,1.3
22c5fa27b4b37c228608562806186e1127905b9d,2,2
385261bb195871bd36212cb40b73aaab15d38cb8,4 hours,6-8 hours including with repetitions 
043a0a5388ed34ac8d656a5cffdd2cff2321e9cb,,
d1b3aeb577372f5c832c944358798910a41d2326,30 minutes,1 hour
d84c484cbe800e0415bea66daf5239a9f30a4874,30 min,3 hours
b0bf250666eef34a4843fc0c2b8d50d05c3f3d7a,0.5,1
01605d64afe27060ee405efdeeb254722225b500,1 hour,2 hours
963c4cf2660a13268eb84f229741aff37c8aa63b,2,2.5
e93b130c4cbd372ff919fd312aaf4ad42d1ff8d6,0.5,1
56e5459a1148ad2d9487d798d2d7e4beaec85b4f,4,10
18e2f947036419d25b14ada71b354a2f6b753dda,1,1.5
4cd37fb935bbe5f0eb0809772717ec9ca49204f6,1,2
755bbddfacde85e1fc698c84f18257a4fc482112,1.5,1
eae61774c1942e6632e067021c0af886c902ed76,1,5
904306159f6cccb16c109457e8bff91fd84d7565,2,2
9266152fb3ec4f70a4cd23d49c2e86a4e572602d,1,2
0dbbfbfcf31336982f1ce760709afab27cbcce76,2,2
4135cff696f3217c5886bda08892b7dd19668221,2,5
af50ddde6893ca612b2ecf7ec7c196e4b390fa24,1,5
e46779e775d1a979f62cad195cedb7fdcdf1d913,5,2
64fa33112996f6dd8688fc43e1898a0d173abf98,1-2 hours,almost 2 hours
b6bec4525e2e4de399721c4c4b7b67df21a3b940,4 hours,10 hours
77855b5310f4a3df65fe7d9658367f34e137f6ee,3,5
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,0.4,4
5b1e41ac02a388eedafd6088144cb65411ea4ea4,1,2
9e15026bc8aa1e65d88fd5037508d6a923986724,4,2
1571075386c6f26357b5555b47695e291bc9b5b4,,
0b3ad0b5d026c9d61704957f30f33952b60eb448,1,1
922efb9887cc5564b55a4c9156ea294b8f4e5081,1,2
3be8a9808dc9e10d5c03287bd1b31dc8c7139c49,3,1.5
c11e130ecfeb70a4d24d6e21f3d5d95455365b56,1 hour,2 hours
46bf380c32c531b53cf17aab7d4f0d027ae5261d,1,3
1e601d610e6744b27663649d27ef1b5c43b5bdba,1,3
ac8f32c9640228f671769f7ec6878ae711da5786,2,2
8e4a7d61add877513db1655485edb50d3497363b,1,7
489ba1eba66f802d795de0ca7c5b909c06b6cad9,1,3
0712198f8b37fcc8c0b58d1ce22c84d7f32f32f3,For week 7 hours,For week 7 hours
ff1c001bcb7af1d19bf83a511241d46703f6ea2e,0.5,6
2ded920d35f88bb4b7c57b68761755a35c982655,,
d2f7a3c7b5a48c04beca162d257cb9bb1ff7cc79,1,2
9fed47bb7213e253ae7730dd075530202bc0bd46,2,2
135e71d8f492fe13e0a4a8e1af4636f1290c479a,1,3
b873dc65f800cdaac65a200d2afb6599a71a8155,0.5,3
5bced46c62870b09d22ec32a48c6adcc16367f09,1,2
68551b0a3637f6b568b096089379fbfe23ca8bea,1.5 hours,3 hours
b5e313d1560ccac099f3e787358bed16bb75de85,0.5,2
9115c4f535f52b30bbdcfdc5dba11324ed0ae7ec,3,6
fed25bf63df572dc46e29004d96bdb9d7e50727e,1,1
9595e3aba1138e5f4a7b6bd780158a4797279be1,2,6
e67dcc653940e84cb7a9e2e00b2cc8b67d12726f,2,73
763f1201cc21f5db2920451b537baba80ecce548,2,6
ebc0426e1ce9aeaf07b0b2409635d3181c5cafa0,1,1
73c4e9042c0416a3801c826a3f7e60c3e6111cad,30 min,The sam length as the videos + 15 minutes for the Azure MLOps article
d86d5c97f0f70ee041a5e389faac76f7e2c0470d,1+,2+
f877a8b2fa1ecddcfa7c04568cea99aef5e7f5c4,1,2
3bbfa02f76309ea56e3bc7a0aa46cb2d5f5f82c9,2,"3,5"
1c50906f1296c5957b1f589af7784f13f6b7d4db,3 hours,2 hours + 2 hours
43d16bca4a40a0b31093954f377a4415d5ea16e1,2,5
2920067751a9db5b3fb993e31bb09a9c2021ec38,2,5
9a5c0f7aae94cb055506428e5f07205645368c0c,1,2
ec5cd56a703afb16aaa6242a2024bc42ae004962,4hours,3hours
cd3fdcbc135dd1c60b79b2cb4fb29c6fc0672ca8,1,2
0caddcb6909016765e1b14d75dfbb9fbe39dc8ba,1,2.5
478d307033342996edccb66a7e1c7941c51ea6dd,1.5,4
56068d611b4a3be413d8329f6a8960c90c7dc4d3,0.5,1
ae788509bea1b82349b0a63b37c9aabdec69a237,<1h,2h
