email,time_homework,time_lectures
2827dee8b87c061ca051c94c0ec890fc4f71d2d1,4-5,2
ad85815de55795cd71d6b8571f91c835dbb6bf85,2,3
31cc3230a2096131d95c6f9a1024f338a40a6444,3-4 hours,4 hours
caa5659c8d0daaebe6fed32fbf96fe7d02f5d822,1,1.5
18c0c35d16c3fbeb3970b6503f8e4d88e42d6440,,
2a9bf33ccc2d970766f077bd27d571e1fcc57015,2,2
10a5b561ee486d23063ceff8e4f4c61801769802,1,4
abc2a8b79febe57f8899b3daf8e50904c6cf806c,3+,2-3
b5e313d1560ccac099f3e787358bed16bb75de85,2,3
332a33463cfe349e9eaa3a2e39822715a4fc435a,4,4
1571075386c6f26357b5555b47695e291bc9b5b4,,
442543fe0e54fdfb6170311692d12968bbf022da,3,3
763f1201cc21f5db2920451b537baba80ecce548,4,8
becb15e5ae73bc463ed8e687558f3dbac703e9a6,1.5,1
e4ed6641178a4160c98a9f93632fefe34bb0fb13,2,5
ec5ae62e44329cbfaa282b539d34f771624c5aca,,
ff98cbd62011e96e0f211ce997d3e8b9e9a5a74a,4,6
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,8,10
823c4d07844a5b8f00b244abb625e54836a7fe6b,2,2
b0a31841d0e20e10af34302a95400ce9b55d8768,3,2
3be8a9808dc9e10d5c03287bd1b31dc8c7139c49,7,4
e88fb372c57f2ab327611d14795479e62ff8e772,5,3
2d2001069526b8aef2be4cae357faaffbd8ee593,5,
3a56cee3eca911ccf8d1cbb06b4a9ad663daa385,2,4
8dee43d7d6fea02609d1248b6619aec3c1591a03,2,6
e5cd083385a3a9e79c39b8212eae859e88cc1d13,1,4-5
51bb171b62b5c883075c79e69c2534088bc01e3e,5,15
08241862e7e1d4d88d3339a3719458a62c26ccd6,,
4018c1712430b7582f26768b37b5b30a248b8f95,3h,1h30
8119a5ecfb2e33e7c9b89aeb8d319496563248a1,4,4
164f92ac565dda90ad674645622a7c287a463081,3,8
8c23f3fd6398eb19c5d3d84d8c000b886a565f73,4 hours,4 hours
fc3086d770f4b3267c5e2c4e655058d253a8a4cb,6,2
5bced46c62870b09d22ec32a48c6adcc16367f09,2,2
ec18a2433a73ffd6db65a3654570c4b25bf9161a,3,4
ec8f5245b2be70e236f10b0dc81b6aa028427371,1,2
55e3a8e1a6d0c3e6283e215586f8f9d8002f9ad0,3,3
1046425a48b3aa3357d62a2656dc7e24847aca06,2,3
98e9f7e12948c5f09bbc6088761bce60b5f0405e,2,3
27b3842776806ddd72afbf1dde62f6a4d17476ef,3,1.5
9b68412a3cb3955f46a9e200ba12457f47f6dc1d,5,2
6df13c6831472996bffd20f33fdb881b99c4e2f4,6,5
113fa60fb97e4caca7eed7fa432a892aff9b5a50,2,6
193a6cafb815c2a44bfb77f80bd66aa2302ebe61,2,3
a3ed757134f008471feae2e364e22407aa6bd6c3,3,2
4234a6f2ed2d09f049db8787e8ca2da10b3a3abd,4,2
bb1a992b7b372500d5501cfd60ff130e70ee9d42,3,6
f21cab98b5350222b2b5dd886529616e713217c9,3,4
5c29e4c072d7e3a0a3495bfa832333b97095876a,3,2
64fa33112996f6dd8688fc43e1898a0d173abf98,2,2
7d16eecc0f2975f53527061e23edd3c8f28cdb45,5,6
