email,time_homework,time_lectures
8f7bdbe2a7e95419d936afcae3315c18eac906be,3,2
5255531ba47ffdf55b5e6cda36988353aebf1d1c,24,72
31cc3230a2096131d95c6f9a1024f338a40a6444,4-5,4-5
a3ed757134f008471feae2e364e22407aa6bd6c3,3,4
27b3842776806ddd72afbf1dde62f6a4d17476ef,2,4.5
1fc51745c6692ed74417df93bab5436b3c9b4af0,10,15
84fd3cfc65c0876561302067691e10249e6e0fb6,4-5 hours,5-6 hours
f21cab98b5350222b2b5dd886529616e713217c9,5,4
b0a31841d0e20e10af34302a95400ce9b55d8768,3,3
ead0948c163b067ce3a861b2753693436e0b16a6,10,5
922efb9887cc5564b55a4c9156ea294b8f4e5081,10+,10+
763f1201cc21f5db2920451b537baba80ecce548,5,10
4234a6f2ed2d09f049db8787e8ca2da10b3a3abd,8,4
b6bc16c5fab0c18fcfcee25780167401068339c4,6,5
7f4ca4b3ed1654ba4a168a74e6596fab95501ba8,3,2
a5414f29685d239976c5b9abd5a1a4b17ec2bf87,4,7
3be8a9808dc9e10d5c03287bd1b31dc8c7139c49,5,2
18c0c35d16c3fbeb3970b6503f8e4d88e42d6440,3,9
b4091fb85bbdff8058a43f5d49e2d2292a83591d,2,2.5
7eac78e16ec2318a59a83609c4a57a5970f7075a,4,5
74e147cbc06258ee542d737f0db3758a96c381e4,3,4
9faa1e33ae2fbcdaeaf2f9b58dcf3652251a2c18,3,4
ac8f32c9640228f671769f7ec6878ae711da5786,9,8
b94a37daf1c993e60316b74dfd3f53bdf9717945,2,6
75ffab8f2f576abaf8ba934f16ce9264b39f7a5f,24,24
83c2c3ed562184d0b533f17b77f2c5d9670f73b2,3,3
5c29e4c072d7e3a0a3495bfa832333b97095876a,3,5
1404e75b1cefbcab4c5ce82d565ff8b11590dabd,5,4
8dee43d7d6fea02609d1248b6619aec3c1591a03,4,10
e88fb372c57f2ab327611d14795479e62ff8e772,5,3
ec8f5245b2be70e236f10b0dc81b6aa028427371,2,4
823c4d07844a5b8f00b244abb625e54836a7fe6b,4,5
08509952482a1de0c72527678591eb964ffb3708,3,2
8119a5ecfb2e33e7c9b89aeb8d319496563248a1,4,6
51bb171b62b5c883075c79e69c2534088bc01e3e,20,20
98e9f7e12948c5f09bbc6088761bce60b5f0405e,3,4
7f561beb38dacc659943ae4d9714fea8b49ed2f6,2,3
d16b07a204d9def69a93b64cde75d5f1a8489e2a,1,2
c11e130ecfeb70a4d24d6e21f3d5d95455365b56,5,5
193a6cafb815c2a44bfb77f80bd66aa2302ebe61,3,5
80fc9078e724333587545f9704b5552dd6c1a955,2-3 hours,3-5 hours
9a5c0f7aae94cb055506428e5f07205645368c0c,10,7
e4ed6641178a4160c98a9f93632fefe34bb0fb13,4,8
d65bc6479c534576b193b2bed7f6f2d6896ee948,2,4
adf6c5a3dba7c188fff63854a0ed35a8d8b39425,,
7d16eecc0f2975f53527061e23edd3c8f28cdb45,3,7
d04aa74637599429f8d12113d94691cc12b28f7a,3,8
6dd99b352f8fd69fdffcdd2cf455e91c32036524,8,8
b84fbeb909c41c20e58ab5cf97d0a928db62fca3,7,5
442543fe0e54fdfb6170311692d12968bbf022da,3,5
2827dee8b87c061ca051c94c0ec890fc4f71d2d1,2,3
a3223ef969beed256e9b66e02218eab28d768813,10,3
ec5cd56a703afb16aaa6242a2024bc42ae004962,10,alot
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,6,10
cd3fdcbc135dd1c60b79b2cb4fb29c6fc0672ca8,2,4
e8d603e8feea6d0c6e917d7e32b905d6fa8434ae,4,4
a5ed4f83058ed74fd739c37916c92d9f76e79a03,,
03b8e5f9888669fdd215d0a3bfc8f99c53534c72,3,3
135e71d8f492fe13e0a4a8e1af4636f1290c479a,2,4
e61067752eac68ac38d66cefa1163a1d135355d6,0.1,1
c720f15a07dd8a8b221745483141dd647c498deb,1,4
83f85d06a02f769fd01403ad1da238b846247ed6,3,1
ea6888eacaa5fb709d0500106b424618c466d7a4,4,3
f42986caf6dfd7ffe2176b2a15e8753320bccae7,4,4
f877a8b2fa1ecddcfa7c04568cea99aef5e7f5c4,2,3
48bb1deed0752bc8f892c6bf5406f8468de261b1,3,3
a8d9b0f0e618e6a2cec03d7029bb587dd4133ac6,35,60
6ad691cf7b5774527dd893bed47b45e516a4b63f,,
b996df54187b7a0963410ad2c85fc1f24594a9a6,5,5
8afbcabbcd73cd2ed5ddeb16cff80aa6c91796dd,10 hours,4 hours
a9ac768ce753c1e904fbbbd15ca58a563c91200c,4,20
133c10445c5313c089dba18832cf81cd0d3b878a,2h,4h
8e9b927054499fa1b4179cb52e20c5911282e6e2,,
ec18a2433a73ffd6db65a3654570c4b25bf9161a,8h,8h
51a4c79661568a723412d89ea4492337c93a30c4,10,14
bdcd8790ef45f3e13a83974b761fe9db356f1797,3,10
6a7e2578f55e7c284cdd2cd4817e329c803571d0,2,4
c6b5f9f8e3f22b1e25201fedb7d0cb85f651b015,,
71b53efdf7049033cdeb141878b0f8ef4bc7619e,4,12
1e601d610e6744b27663649d27ef1b5c43b5bdba,5,5
e2f613d3d28c1e6baff03116fc76463660d0c42c,3,2
ed01d9f01db1778b811e43b668cbdb8c34c7bd63,5,2
ac56670175926113cd6329b47da65887caf86c50,12,40
661446df744b856e5bc2b830ad1e53b5351312e5,14,15
51237e25ee99d4a65299ae6b1fee4081a2ad592c,,
961ec8cdc18daa05f0d0114034abdc2e9b66040d,,
