email,time_homework,time_lectures
9a95143eae229931375caa43f791202c1b902687,,
6a6c44d5defebefbd52b35f9500c4d6562ba2df6,2,
874a9495dd6c7a5903b815d56228a77f46068d8f,2,5
377c7336a02c176e1fe9bf788ef983cc8d34d957,2,2
d0e1c5a6a1636168f4706841320e0f013d179a3e,1hr,10hrs/Week
49a453e87d107e3be5fdf36ff704c840d08acc8c,5 hours,9 hours
42b5b5240090356c32e86eef48f9b8bc5e976073,4,8
786611f65a800599690d11dce17bcfc47e8f40e8,1:30,2
c72e18525886d873aefe8b6732faf603998a544a,2,10
7e5508650ab5704e30baa0faf7e7573ff96befad,2,4
572ae7a476bb1e5673ca851dbc34df50584da138,3,6
e01d8350e21f11eaad8d80bfce8013045bcdf3ac,5,10
2bbcbaa8a90ecb87eaf95fc68801bc905aedbc15,2,"2, 5"
1d4143eba3e93e402f50fa1923f0dd6cb078060e,2,2
8f2df9df92bd5165ef60490a6f77ae7ea61605a9,2,2
85d33675b1243bb519fcd3d6fb8c5327db31f194,8 Hours,3 Hours
3202ab1dfba14bd67fc70abdc57e5bf9a0927f8e,1.5,2
748b1f08308ed757950475f5afd74699b2b58156,5,20
025592e85d2099e9e31f8016de477e3e962e1808,2,4
c28851e26d082e1f98d1f4cf1f84815d47a2d9ae,4,4
f78ec08480aefa7a2cffa67c278a3d8114fb085a,2,4
c870621552ce4213324171befe96d0ef3876110b,1:30,5 hours
963c4cf2660a13268eb84f229741aff37c8aa63b,2,2
67847036964d26d2b336db699a880f4e829b1dfa,2,3
77164f4b2568322aaff071a46f35724e0b92ca52,2,4
ef96d3e6eb8623a19be9129416b8de11ad54000c,1,3
035dc222582442e690557dbd468e5824fcdd5d07,3,7
1a13a5908b12bfe8f354a00f57c335fc9393cbe3,3,2
60055f7429f188e58330dcd451d6ac4682372177,2 hours,7 hours
afb37782bb0f8fd64bc66f428dfcbca70544e71b,2,2
af4f890fee1b66da0a8e90ef6f314fd5711293ca,0.5,6
34f2761bfe0c305f0abc0da3fcb70a6c33cf34f9,4,4
f493ae8dd73ff491328712307822374195726295,1,4
f588afbeeb2b84cd42ed1253c192408398f1a157,5,5
354184ce4b921a48a3b870c84cf75d0a2dd04919,3 hour,1 hour
303858b20635973e599a38cec1966602f6e3ba62,24HOURS,48HOURS
5f39fee62097ec9c9337ee464b8efa1859d53bf6,,
4f38dd98589f8629b352b3bdca90b265a4fb811d,2,3
413762953fbbe3b8bd356feca3d41d48c3ff0ab0,1,2
7526105874ec9641345a3a161e959ff95d3ba6ba,3,20
696df80598facb19be4fbb4660212c5c28b00de4,6,12
1c2602a03ff83b16478b9ae81789f539902601ad,2,2
b24bf79b03dd3987ba2d88b020e72fabab886202,3,3
1e601d610e6744b27663649d27ef1b5c43b5bdba,3,5
50895af7c5d4a20958d3ffbff9608433bbe420e6,,
5c8d4b058ee37c3bf10fa9696772cae7576a1e5e,1,4
7f160ce44fb251a100cc54a24ddd755750e4bb78,a lot,a lot
cfba9f5de927387ebceba0e75a58978c5bae3f72,8,10
e5669b57181e5d714a98872917a97ba05db97b19,3,3
ca068cd9ec3beb02061bd74b3ef6d8d6b4a7a6c9,2,2
b39b101f14b610f01a122630df20b34d6428c778,5,6
4546d60ab153e89e782f43eefda1398471ebed17,8 hours and more,2 hours and more/day
99933fb080d46d7415b1a4bae28e2a38132a585b,10,10
416bf749bb0b3d4e3dafffb18eed473b459d6629,2,2
c2e1dafc87656e0a837782d1210e43d66152144b,,
dd5b55ff79bbcc41c2b7b9a2459bed2f1760c470,7,4
f0bdcb3d973c5ff5293af59164612025b45b21f8,0.5,2
779788ddc63562ec87a77b142c77fc18c0006522,,
3e056495db0abff26e61629b0413b3458f9c94c8,1,1
f5e09c07fcdcbb9ec646a989a2ac1716a8b7d67b,8-10 hours,2-4 hours
074b726d9cd330f203302c97ffc871a972fb04c6,2,3
0b13435a91cf2248cd29f04abe0c4cdc23f0d7d6,3,8
02e6dca8958ce065b203a61b5df61793430ed858,4,2
7992b81ee844ba2e5ada2102295ca64bbd0c74d1,6,6
edbcf771e5cfd4fa4533e9eb251ce6be3d3e1bf4,2,5
340ed08e610a57ce10e8c1dc045038382c2af13f,1,1
3c4054685856a7564e12ec006c8d2f3dc8293524,6,8
edbc2b3a5db6222a8bc83cf2c798f349bcb8f5b4,4,5
36ce7923f66ad681c87fa2add6f182a4ebc4b69e,5,3
89b06a5c00b44c35b65d15e007e03c01b2539799,1,3
028a5db179911e4eb4d0552c8b7429bc09a17786,10,5
c141567ff152fc9fd14edd9453f03cdcdeb9b7e8,45 minutes,
e07f8d24e3862d71a0c11953ef05e5373758fcdc,6,5
e307efb3095ec657d6571aa8363736e3ba577289,4,2
721745d70baa065f665d576af25333fdb05f7674,15,6
dd068f123430248b2d040336aa916161042eb8e0,4,7
0468e763c95d3f3d450f75034025230e7a2b4aff,1,3
6df13c6831472996bffd20f33fdb881b99c4e2f4,1,2
b0074f3be48f7013ecc85be483fb8b25ab52dba0,4,4
1fec47fabbe4e2062e4f16332afa10525786af8e,2,4
b62e628b40b8864b5b028d5d980fad0d629286b7,1.5,2.5
b11c54808687649bffeeec20add2a397bcbfd36d,6,3
7a0ffb5cc833af0d078d8a3622ec93605f08951e,,
e62842e5f298f6077f59a15ef341b6f502ae35f5,5,7
abfa9f76c6d8e9207408513e36930764e5046097,3.5,7.5
edcd971b4f6d1d38cc1cee85956f8aba89cf367f,3,0.5
6fb4596557ab71b23e11fa21492b9ae759290d01,,
d61d6f7c1bb47ea2743ccf7a9980555bcc5cbd54,4,3
9292fb2bd2b465a0388fd087f34ff273af2c6c1c,2h,1h
2d0c9dd8e4547d3872cb6ca577ad83de72717fe6,5,5
66068408f948ea68cc5a710eadab9365cc9b2ec8,2,10
d06b7a799bff6eff4676f55b54339a518e8f7440,4,3
a20c529535aae6eac38e738e6a00cfa91d878698,3,4
9856fd4fb016f089739eaa5907939a831f289c80,5,10
9a32c22975d06d73862380ddf4199472512b4e27,1,4
31c3a4690ebdd6aa5bd208dcd9074071f3a53fc9,2,4
7ddc7add373284cd7301c69d1dc71f5b7c3a53ac,0.5,1
e01cb5d2d75acccc92b7e7695d2a981db9f16cd3,4,2
3cea022a058d74ab3529b99c1ee8b5f88931a01a,3,1.5 hour per day
de70cd7da77099c79c3df06dbbf6ef6b6b6059cb,,
142bb5a4fead83dc9efa5d7467756e7f47b7601e,3,3
5a0f9d9a2437ede7b05015c888922911362b54c6,2,4
d36eb7deba1bc341ed7cd77158e6452ed6a19982,6,4
355a6a996cfa734900b53659ed58db5558d38e3b,,
4118d790ea0f157c3476091cdfa8f1329321e28f,,
ab899768350451e5053bb7d6ed32c174b97f0692,"1,5",2
53e7aeffa44557c4b5afcbe59257297441ae9e5d,4-6,12
f80e240cea7e6d69c9c17920b5e4e98bfb72cd8e,3,3
8f7bdbe2a7e95419d936afcae3315c18eac906be,1,3
ca8bd994353b5aa8ee4c3f73c430615a316f2789,1,3
82b87033f856196876d2dc2fbdcd658dab36218b,6,7
4ee64170f7e97af5050eb52fa4266050a22cf09e,around 36 hours,144 hours
acbd7dba445b390e9ad0931a3d6220d238e49974,,
b5b7cf54ab38b1a84ba9d51573dc9f33de97f5f7,3,5
4472d8f6e7f9069f37050ccb436b1e2beecd8970,About 2 days,4 hours
b64df80809fbbd9ab441a79527158f8bd7431bbb,3,12
442cf6a890545937a4616d70226ba3eddaa7aeb4,3,6
c4ec1e561e5bb78af41893aaf03c68b0700131a3,,
eb2e36f33a61f267b9421bb087e3a5e14a5b9bca,1,1
c33859593d93f8095a98924b18b705d471ea3d53,1,2
4a9d3289533c719b4ea7d9c83feefc3d270cda5d,1,6
f42986caf6dfd7ffe2176b2a15e8753320bccae7,1.5,2.5
050d1658547f333b65c7baed9eb0155c4e9a1bc6,1,8
6998413d2f1eca71d1e809828b3667ea529f70c5,15,5
e4d41d7c57e8cb5e555bca469542b566b9873de1,4,4
fa51626841aadf0b5f774c9d973a982e4f07df0b,3,6
da55dd6dab7aa8317c8a98cc3ab6a6ea5139c084,3hours,8hours
0f0efa59a41a4d0f1f40aba12d21a9d4fd1f7a60,1,0
57bfa7d64c102522ae7d66f73bff25fc6badbf63,5,7
043d75191db8d85440788f8fdd093ef64e834d00,4,3
82ab183e672f417be4a39d36a3f6b93e02388bfd,2,14
d1c020da1617bbd5edde79b68107c9a20c5e50ee,2,3
e0a36d2964b0a2ecaaee8c3532a28a4eef1ea75a,3,3
d770e3ee64d471aec022a1e59b767c197afa6dc4,2,10
ed34605687b8ea49073e4fab55622894e48fd5f0,4,10
d40529a2ce45590bbfdd6c8dd9d02f530f1be4d3,1,3
c614067bb7255f858ec07ed5cce17ee6eb4ff6d1,2,2
aaa2c064e0e2a7dbe626c2d9efcd8a7842a2b061,1,6
2de3de72509444579fa17b71c6288cf35180bac6,2,4
e1156edb66620cfa9edc0b8698f2a9d855b8465e,~6,
ea647b483bf015308323e7b789fbb83d4c14d842,2,2
c2a8ebea662c610bc5ca9fa6912729bbd57d358b,1,0
e37a20d4fe03023d4ce9c97cb38c9c49c6464494,2,5
920a35e8063c57a0f960adab99cce6278362ecff,3-4 hours,8-10 hours
a755daa4d8561c4e55e7bab521b8b31f5726933a,6,7
20f43628cc706aab99d212d0c1838fa53e671481,5,10
be05634cf9b8a666bbf4d85b342be827ae83ca03,~3h,~5h
df656ae30c442922037c74f227aa3e35f5ec5bc7,1,8
99860788bea224a70b52ce69d3ffbaa00068fe86,1.5,6
80705821c0b58b16b41794e274fe82d962baa405,1 hour,20 hours
6032ba237775a1836b9382389f425e418fe21a2a,2,2
01a5c4b4b90faf3863abc450b3db2802d76d553d,10,9
d70d4df9f8bd51da79d8ab9dafa4926f78562c1f,6,4
1d400227b2ca261a9097ca634b5c2d66598d8d2f,3,5
